Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Column,Rule: Relation,Rule: Condition
adidas,MERGE,Adidas,<p>Discover the Adidas collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Adidas
levi-s,MERGE,Levi's,<p>Discover the Levi's collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Levi's
marciano-by-guess,MERGE,Marciano by Guess,<p>Discover the Marciano by Guess collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Marciano by Guess
coveri-moving,MERGE,Coveri Moving,<p>Discover the Coveri Moving collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Coveri Moving
philipp-plein,MERGE,Philipp Plein,<p>Discover the Philipp Plein collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Philipp Plein
tod-s,MERGE,Tod's,<p>Discover the Tod's collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Tod's
accademia-militare,MERGE,Accademia Militare,<p>Discover the Accademia Militare collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Accademia Militare
john-galliano,MERGE,John Galliano,<p>Discover the John Galliano collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,John Galliano
golden-goose,MERGE,Golden Goose,<p>Discover the Golden Goose collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Golden Goose
marant-etoile,MERGE,Marant Etoile,<p>Discover the Marant Etoile collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Marant Etoile
serengeti,MERGE,Serengeti,<p>Discover the Serengeti collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Serengeti
msgm,MERGE,MSGM,<p>Discover the MSGM collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,MSGM
palm-angels,MERGE,Palm Angels,<p>Discover the Palm Angels collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Palm Angels
plein-sport,MERGE,Plein Sport,<p>Discover the Plein Sport collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Plein Sport
stella-mccartney,MERGE,Stella McCartney,<p>Discover the Stella McCartney collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Stella McCartney
frankie-morello,MERGE,Frankie Morello,<p>Discover the Frankie Morello collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Frankie Morello
