Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Column,Rule: Relation,Rule: Condition
m-missoni,MERGE,M Missoni,<p>Discover the M Missoni collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,M Missoni
zimmermann,MERGE,Zimmermann,<p>Discover the Zimmermann collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Zimmermann
vila-clothes,MERGE,Vila Clothes,<p>Discover the Vila Clothes collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Vila Clothes
gaelle-paris,MERGE,Gaelle Paris,<p>Discover the Gaelle Paris collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Gaelle Paris
stuart-weitzman,MERGE,Stuart Weitzman,<p>Discover the Stuart Weitzman collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Stuart Weitzman
y-3,MERGE,Y-3,<p>Discover the Y-3 collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Y-3
premiata,MERGE,Premiata,<p>Discover the Premiata collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Premiata
rinascimento,MERGE,Rinascimento,<p>Discover the Rinascimento collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Rinascimento
fred-perry,MERGE,Fred Perry,<p>Discover the Fred Perry collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Fred Perry
fabiana-filippi,MERGE,Fabiana Filippi,<p>Discover the Fabiana Filippi collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Fabiana Filippi
diadora,MERGE,Diadora,<p>Discover the Diadora collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Diadora
