Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Column,Rule: Relation,Rule: Condition
the-latest,MERGE,The Latest,<p>Discover the The Latest collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,The Latest
sa-su-phi,MERGE,SA SU PHI,<p>Discover the SA SU PHI collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,SA SU PHI
r13,MERGE,R13,<p>Discover the R13 collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,R13
roberto-pepe-luxury,MERGE,Roberto Pepe Luxury,<p>Discover the Roberto Pepe Luxury collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Roberto Pepe Luxury
olivia-burton,MERGE,Olivia Burton,<p>Discover the Olivia Burton collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Olivia Burton
casablanca,MERGE,Casablanca,<p>Discover the Casablanca collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Casablanca
bolle,MERGE,Bolle,<p>Discover the Bolle collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Bolle
loulou-de-saison,MERGE,Loulou De Saison,<p>Discover the Loulou De Saison collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Loulou De Saison
swarovski,MERGE,Swarovski,<p>Discover the Swarovski collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Swarovski
marina-yachting,MERGE,Marina Yachting,<p>Discover the Marina Yachting collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Marina Yachting
colmar,MERGE,Colmar,<p>Discover the Colmar collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Colmar
amiri,MERGE,Amiri,<p>Discover the Amiri collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Amiri
darkpark,MERGE,Darkpark,<p>Discover the Darkpark collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Darkpark
dior,MERGE,Dior,<p>Discover the Dior collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Dior
havaianas,MERGE,HAVAIANAS,<p>Discover the HAVAIANAS collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,HAVAIANAS
plein-sud,MERGE,PLEIN SUD,<p>Discover the PLEIN SUD collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,PLEIN SUD
ducati,MERGE,Ducati,<p>Discover the Ducati collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Ducati
nine-west,MERGE,Nine West,<p>Discover the Nine West collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Nine West
jeckerson,MERGE,Jeckerson,<p>Discover the Jeckerson collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Jeckerson
lemaire,MERGE,Lemaire,<p>Discover the Lemaire collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Lemaire
domenico-tagliente,MERGE,Domenico Tagliente,<p>Discover the Domenico Tagliente collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Domenico Tagliente
kate-spade,MERGE,Kate Spade,<p>Discover the Kate Spade collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Kate Spade
kristina-ti,MERGE,Kristina Ti,<p>Discover the Kristina Ti collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Kristina Ti
hunza-g,MERGE,Hunza G,<p>Discover the Hunza G collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Hunza G
casadei,MERGE,Casadei,<p>Discover the Casadei collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Casadei
